,Irradiancia,Temperatura,Potencia,label
143,750.44,41.48,0.2942008,1
144,753.09,41.98,0.2950244,1
145,753.71,42.25,0.2951635,1
146,756.29,42.39,0.2960839,1
147,755.75,42.76,0.2957528,1
148,757.69,43,0.2963975,1
149,757.33,43.07,0.2962381,1
150,756.27,43.31,0.2957568,1
151,750.64,43.05,0.2937314,1
152,747.81,42.53,0.2928471,1
153,748.6,42.31,0.2932202,1
154,746.09,41.82,0.2924458,1
155,749.9,41.53,0.2939809,1
156,751.1,41.87,0.2943136,1
157,752.09,41.86,0.2946901,1
158,753.57,41.9,0.2952328,1
159,753.05,41.98,0.2950094,1
160,756.77,41.96,0.2964154,1
161,757.98,41.84,0.296912,1
162,761.85,41.86,0.2983599,1
163,763.93,42.11,0.2990534,1
164,763.52,42.35,0.2988143,1
165,765.23,42.6,0.2993689,1
166,764.51,42.6,0.2990987,1
167,765.1,42.6,0.2993199,1
168,766.89,42.67,0.2999674,1
169,767.26,42.77,0.3000701,1
170,767.97,42.69,0.3003652,1
171,766.82,42.77,0.2999059,1
172,765.06,42.58,0.2993117,1
173,771.14,42.71,0.3015475,1
174,773.63,43.2,0.3023068,1
175,773.72,43.79,0.3021331,1
176,772.23,44.25,0.3014126,1
177,771.71,44.78,0.3010327,1
178,771.38,44.67,0.3009471,1
179,770.07,43.98,0.3006985,1
